Modelo,MAE,RMSE,MAPE,R2
Random Forest Regressor,1.9735285209187325,2.7792535652724117,9.379390377364292,0.8353045391217554
Baseline Naive,2.0361818181818183,2.808824859422369,9.700365222783756,0.8317811702691745
Random Forest Optimizado,2.0407600146081712,2.849151282533646,9.732229581907559,0.8269162458076516
Gradient Boosting Regressor,2.1263003314869144,3.0658474545306804,10.60965318318756,0.7995867774977834
Ridge Regression,2.131681790650225,2.9426239851243,9.87465563681239,0.8153731635983776
Regresión Lineal,2.1779354275735345,3.00821527251987,10.066148630624388,0.8070507429790686
Decision Tree Regressor,2.265636039628489,3.1154592096302425,11.005967355860209,0.7930480962238668
SVR,2.356284731645929,3.450739544569143,10.756025186914659,0.7461076306240061
