Real,Predicho
15.26,16.303025697151813
15.24,16.24448551243863
14.23,16.23978907195314
13.76,14.686373795889176
13.98,14.02268606822404
18.98,14.112590766528726
18.22,19.02843817428971
17.26,18.544063736090195
17.2,17.91602614917137
17.4,17.543611625205365
17.6,17.67980470398921
20.56,19.57021256250531
18.89,20.907728499357532
19.26,19.35681876224529
18.02,19.465688611405618
18.89,18.732475875993288
21.28,19.725740854622995
21.01,21.334950686875256
20.79,21.262043571658342
19.19,21.233246364954507
21.1,18.93449737390052
19.43,20.536567181960308
21.36,19.254096515562246
19.59,21.252858549400468
20.67,19.754597928624285
21.57,21.493146038738235
20.52,21.71461162110987
22.75,22.75490594011714
25.5,22.646818000232237
24.76,24.78972603484942
23.96,24.593913602393652
22.46,24.153420142129754
20.77,22.3807901344041
18.22,15.94790322200401
17.74,17.825732588769114
12.17,18.22645710884498
10.74,13.531043702919101
12.24,13.924641797113765
17.72,13.558791811307502
17.04,18.013343452277027
16.71,17.491224263994635
17.79,17.71364264860274
18.22,17.9322722992057
16.65,18.029995789716978
19.62,14.990278543169582
17.81,18.92415862252011
16.3,18.39605043772237
18.19,17.89032955175182
15.63,18.572127715023722
17.69,17.715266533315273
15.5,18.29397061792055
15.73,17.185247295072557
15.09,17.176499384522298
12.14,16.17961664146841
10.66,13.84828229296457
42.95,34.13562416754072
39.09,32.7881974926974
39.86,35.959632438294335
41.53,35.381964887039956
39.99,37.86562753167937
44.51,38.2518380978855
40.38,38.35459440022208
42.5,37.65744542893231
39.67,37.77026487086281
44.28,37.47918840405222
44.45,38.57722823515033
22.24,18.29539438736328
24.99,22.123153904909937
27.87,24.473828999820608
33.86,26.629543340453143
37.0,29.99223320641518
33.65,32.66072231506443
29.76,33.00738252635411
34.97,32.11046386824499
27.28,33.44823245866385
26.45,26.6338951537666
21.86,25.643941184236205
16.54,16.71864673891356
17.52,17.102075887648777
15.41,18.000698291491737
16.78,16.77138152587856
15.41,17.47431022241843
17.52,16.907220611952756
16.56,18.078727045112135
17.73,17.38624901520017
16.27,18.199016031083136
15.98,17.39179744232301
15.53,17.36665518910083
21.75,21.154125402468125
18.3,21.362724369550858
19.44,18.861572518529357
18.24,19.55203824956852
20.21,18.877938326775737
21.45,21.513836293934414
23.91,21.432960089891715
20.08,23.843238848111277
23.06,20.58073188231222
20.66,22.45026091220443
19.77,20.66528253267863
25.57,24.277438389051625
25.21,23.315388868536022
21.14,24.628604635404812
20.91,21.633469012307366
21.71,22.17370703422348
25.49,23.142864088584467
24.08,24.853840370335504
23.55,23.92780213109697
27.94,23.880944416198982
25.26,25.929222791883483
23.0,24.342963985441852
19.21,18.30561463132734
19.1,18.82083555469135
19.31,19.39147584443049
18.88,19.576400573442275
22.2,19.548795683248294
26.73,23.012787414330457
25.88,26.38488572576297
22.25,26.070373029096903
21.77,22.831352771391106
25.4,21.58389165913508
27.19,23.76674211009244
20.01,18.36281175540686
11.65,19.832592002869767
9.76,14.237982469103235
14.05,11.266933123630562
14.7,14.870146430461885
14.66,14.99029734571537
14.61,15.009402889812492
15.59,15.029819479519793
14.87,17.06548689343054
14.25,15.76914136255109
14.26,14.800432228399353
20.23,18.865859700128922
19.04,20.034588414868036
18.51,19.406895478236386
17.87,18.966925102840502
18.33,18.707545266376336
19.41,19.066750949123872
20.25,19.50591426191587
19.67,20.570749162188505
20.06,19.998377239689226
20.56,19.98296509089214
19.75,20.676373306676386
27.3,23.446250224926256
24.25,23.806733035774194
23.03,23.930330127195464
20.71,23.041800916631402
22.81,21.671922404962462
23.96,23.30153775242711
24.21,23.998911199289328
23.09,23.860886362696014
23.13,23.70343464949848
23.3,23.39643472477162
23.73,23.160062370141894
12.36,16.113222246086394
13.44,13.819748168206543
14.19,13.94402547091039
14.0,14.72039188894225
14.11,14.579164672826561
13.62,14.477380965540599
14.26,13.94235041204095
11.7,14.698073569085324
11.6,13.863502980564018
9.73,13.931193426406361
11.67,12.135438735361777
20.14,21.415409268343467
21.98,20.034518695305636
20.93,21.68739322008061
23.8,21.403404435871412
23.88,23.718567696031123
27.9,24.65650895875959
27.96,26.75216234804864
25.47,26.768145866808787
27.82,25.146421040759925
32.77,26.051805108941743
24.76,28.476199348411665
23.21,19.745570849056264
20.35,21.863605150299257
18.45,20.539017423117826
17.29,18.860241955678994
18.05,17.818590647432348
19.96,18.719084977231105
20.5,19.967263798482165
20.27,21.03862151556327
22.48,20.536489030379617
22.46,22.166301156506748
19.08,21.750391572471642
19.58,17.211737117090216
18.3,18.868282837384665
17.28,18.492851573579383
16.8,17.877024357310535
18.85,17.84568980937043
23.46,19.679669709090614
22.37,23.249821802484817
20.26,22.539787734784618
22.84,20.689150110530914
19.2,22.241120737898154
15.62,18.57709552656133
40.51,29.734566213068625
31.25,28.885192488933185
25.24,30.27582813739116
22.3,27.431358066789784
23.55,24.164689874974414
32.78,26.04696186278044
29.16,29.400984618825124
22.6,29.694951106904064
28.99,23.787840815797125
39.29,28.96674406185409
37.11,30.866741231383557
26.85,21.556568753715275
20.56,23.919166070854377
21.62,21.448874087823214
21.61,21.07207369789399
21.34,21.715461270715117
22.98,22.468578162584688
23.87,22.782551971777163
22.08,23.86811872964794
22.4,21.879389625487565
22.59,22.42846292920428
21.62,21.88769022025833
26.27,24.410198768571963
23.43,24.05601530441368
21.79,23.925003239978963
22.85,21.516840255228352
24.79,22.88707348686099
27.19,25.32229415394523
27.94,26.405881573156165
26.07,27.088345838167896
26.31,26.371644641369144
26.08,25.549051855024985
23.97,25.328033638165184
26.42,22.549619111596588
17.76,23.64867300346238
11.84,18.64075111299081
14.75,13.567617848257733
13.88,15.578190457330614
17.47,13.888888930801393
15.27,17.793517008045065
14.86,16.14174945876803
10.96,15.564135676682293
11.96,13.743224056497011
12.6,13.77133650931322
